owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
zsxkib,qwen2-7b-instruct,https://replicate.com/zsxkib/qwen2-7b-instruct,"Qwen 2: A 7 billion parameter language model from Alibaba Cloud, fine tuned for chat completions",1800,2024-06-25T14:50:50.990468Z,public,https://github.com/zsxkib/cog-qwen-2/tree/Qwen2-7B-Instruct,https://arxiv.org/abs/2309.16609,https://huggingface.co/Qwen/Qwen2-7B-Instruct
zsxkib,qwen2-1.5b-instruct,https://replicate.com/zsxkib/qwen2-1.5b-instruct,"Qwen 2: A 1.5 billion parameter language model from Alibaba Cloud, fine tuned for chat completions",26768,2024-06-25T14:50:52.709922Z,public,https://github.com/zsxkib/cog-qwen-2/tree/Qwen2-1.5B-Instruct,https://arxiv.org/abs/2309.16609,https://huggingface.co/Qwen/Qwen2-1.5B-Instruct
platform-kit,mars5-tts,https://replicate.com/platform-kit/mars5-tts,A novel speech model for insane prosody.,509,2024-06-22T02:26:56.300026Z,public,https://github.com/Camb-ai/MARS5-TTS,,https://github.com/Camb-ai/MARS5-TTS/blob/master/LICENSE
zsxkib,qwen2-0.5b-instruct,https://replicate.com/zsxkib/qwen2-0.5b-instruct,"Qwen 2: A 0.5 billion parameter language model from Alibaba Cloud, fine tuned for chat completions",210,2024-06-24T19:10:01.636353Z,public,https://github.com/zsxkib/cog-qwen-2/tree/Qwen2-0.5B-Instruct,https://arxiv.org/abs/2309.16609,https://huggingface.co/Qwen/Qwen2-0.5B-Instruct
ardianfe,musicgen-ft,https://replicate.com/ardianfe/musicgen-ft,good for video teaser backsound,66,2024-06-19T14:28:34.882788Z,public,,,
philz1337x,clarity-upscaler,https://replicate.com/philz1337x/clarity-upscaler,High resolution image Upscaler and Enhancer. Use at ClarityAI.co. A free Magnific alternative. Twitter/X: @philz1337x,20700366,2024-03-15T02:35:32.167345Z,public,https://github.com/philz1337x/clarity-upscaler,https://clarityai.co,https://github.com/philz1337x/clarity-upscaler/blob/main/LICENSE.txt
buddhiraz,photomaker_ape_stylized,https://replicate.com/buddhiraz/photomaker_ape_stylized,,515,2024-05-30T08:41:40.522489Z,public,,,
zsxkib,sd3-controlnet,https://replicate.com/zsxkib/sd3-controlnet,"✨Stable Diffusion 3 w/ ⚡InstantX's Canny, Pose, and Tile ControlNets🖼️",1591,2024-06-19T15:31:44.398686Z,public,https://github.com/zsxkib/cog-stable-diffusion-3-with-instantx-controlnets,https://arxiv.org/pdf/2403.03206,https://huggingface.co/stabilityai/stable-diffusion-3-medium
fofr,sd3-explorer,https://replicate.com/fofr/sd3-explorer,"A model for experimenting with all the SD3 settings. Non-commercial use only, unless you have a Stability AI Self Hosted License.",32288,2024-06-18T11:17:24.775662Z,public,https://github.com/fofr/cog-comfyui-sd3-explorer,https://arxiv.org/pdf/2403.03206,https://huggingface.co/stabilityai/stable-diffusion-3-medium
douwantech,gpt-sovits-train,https://replicate.com/douwantech/gpt-sovits-train,,189,2024-06-13T13:16:02.438172Z,public,,,
exdatic,tortengenerator,https://replicate.com/exdatic/tortengenerator,,83,2024-06-20T11:14:22.637110Z,public,,,
stackadoc,stable-audio-open-1.0,https://replicate.com/stackadoc/stable-audio-open-1.0,"Stable Audio Open is an open-source model optimized for generating short audio samples, sound effects, and production elements using text prompts.",22351,2024-06-19T14:35:20.120326Z,public,https://github.com/stackadoc/cog-stable-audio,https://stability.ai/research/stable-audio-efficient-timing-latent-diffusion,https://github.com/stackadoc/cog-stable-audio/blob/main/LICENSE_MODEL
fofr,sd3-with-chaos,https://replicate.com/fofr/sd3-with-chaos,"Stable Diffusion 3 medium with added variability in outputs. Non-commercial use only, unless you have a Stability AI Self Hosted License.",20187,2024-06-20T11:14:33.783474Z,public,https://github.com/fofr/sd3-with-chaos,,https://stability.ai/license
xavriley,sax_transcription,https://replicate.com/xavriley/sax_transcription,Transcribe saxophone solos directly from audio,207,2024-03-01T20:12:00.163603Z,public,https://github.com/xavriley/sax_transcription,,
douwantech,musev,https://replicate.com/douwantech/musev,,367,2024-06-06T10:06:03.183075Z,public,,,
franz-biz,yolo-world-xl,https://replicate.com/franz-biz/yolo-world-xl,Real-Time Open-Vocabulary Object Detection using the xl weights,1052940,2024-06-19T11:14:06.668205Z,public,https://github.com/franz-biz/yolo-world-xl-cog,,https://github.com/AILab-CVC/YOLO-World/blob/master/LICENSE
